"Day","Sales","Trading Profit","Operating Expense","Net Profit"
85,51485676,19311663,7966653,11345010
86,52096171,18770767,8076147,10694620
87,52285629,18740736,8156641,10584095
88,53089407,18840979,8272135,10568844
89,53937745,18631804,8493629,10138175
90,54537706,18784613,8641709,10142904
